"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"1400000US06037101110","Census Tract 1011.10, Los Angeles County, California","3923","460","null","null",
"1400000US06037101122","Census Tract 1011.22, Los Angeles County, California","4119","858","null","null",
"1400000US06037101220","Census Tract 1012.20, Los Angeles County, California","3775","474","null","null",
"1400000US06037101221","Census Tract 1012.21, Los Angeles County, California","3787","651","null","null",
"1400000US06037101222","Census Tract 1012.22, Los Angeles County, California","2717","442","null","null",
"1400000US06037101300","Census Tract 1013, Los Angeles County, California","3741","478","null","null",
"1400000US06037101400","Census Tract 1014, Los Angeles County, California","3246","534","null","null",
"1400000US06037102103","Census Tract 1021.03, Los Angeles County, California","1920","495","null","null",
"1400000US06037102104","Census Tract 1021.04, Los Angeles County, California","4187","612","null","null",
"1400000US06037102105","Census Tract 1021.05, Los Angeles County, California","1797","336","null","null",
"1400000US06037102107","Census Tract 1021.07, Los Angeles County, California","4082","634","null","null",
"1400000US06037103101","Census Tract 1031.01, Los Angeles County, California","2484","351","null","null",
"1400000US06037103102","Census Tract 1031.02, Los Angeles County, California","4716","542","null","null",
"1400000US06037103201","Census Tract 1032.01, Los Angeles County, California","3961","430","null","null",
"1400000US06037103202","Census Tract 1032.02, Los Angeles County, California","2569","932","null","null",
"1400000US06037103300","Census Tract 1033, Los Angeles County, California","3726","463","null","null",
"1400000US06037103401","Census Tract 1034.01, Los Angeles County, California","2596","425","null","null",
"1400000US06037103402","Census Tract 1034.02, Los Angeles County, California","3795","559","null","null",
"1400000US06037104103","Census Tract 1041.03, Los Angeles County, California","3969","1026","null","null",
"1400000US06037104105","Census Tract 1041.05, Los Angeles County, California","5711","861","null","null",
"1400000US06037104108","Census Tract 1041.08, Los Angeles County, California","5551","515","null","null",
"1400000US06037104124","Census Tract 1041.24, Los Angeles County, California","3843","502","null","null",
