"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US06037101110","Census Tract 1011.10, Los Angeles County, California","3879","null","480","null","2709","null","359","null","11","16","null","null","6","11","null","null","405","null","118","null","0","null","13","null","266","null","194","null","482","229","null","null","263","null","178","null","219","null","150","null",
"1400000US06037101122","Census Tract 1011.22, Los Angeles County, California","4247","null","875","null","2980","null","843","null","99","105","null","null","0","13","null","null","607","null","250","null","0","null","13","null","245","null","198","null","316","184","null","null","95","null","87","null","221","null","151","null",
"1400000US06037101220","Census Tract 1012.20, Los Angeles County, California","3583","null","486","null","1978","null","305","null","8","12","null","null","90","98","null","null","341","null","187","null","0","null","13","null","607","null","361","null","559","338","null","null","430","null","327","null","129","null","79","null",
"1400000US06037101221","Census Tract 1012.21, Los Angeles County, California","3723","null","721","null","2545","null","676","null","97","85","null","null","0","13","null","null","209","null","155","null","0","null","13","null","668","null","434","null","204","169","null","null","173","null","161","null","31","null","48","null",
"1400000US06037101222","Census Tract 1012.22, Los Angeles County, California","2690","null","520","null","2404","null","508","null","17","29","null","null","0","13","null","null","131","null","197","null","57","null","91","null","42","null","64","null","39","76","null","null","24","null","53","null","15","null","41","null",
"1400000US06037101300","Census Tract 1013, Los Angeles County, California","4068","null","419","null","3283","null","487","null","56","74","null","null","0","13","null","null","162","null","79","null","0","null","13","null","200","null","174","null","367","181","null","null","213","null","115","null","154","null","135","null",
"1400000US06037101400","Census Tract 1014, Los Angeles County, California","3372","null","629","null","2418","null","539","null","12","15","null","null","0","13","null","null","273","null","174","null","0","null","13","null","84","null","64","null","585","418","null","null","202","null","200","null","383","null","265","null",
"1400000US06037102103","Census Tract 1021.03, Los Angeles County, California","1767","null","488","null","1440","null","481","null","28","44","null","null","0","13","null","null","148","null","114","null","0","null","13","null","52","null","70","null","99","84","null","null","9","null","11","null","90","null","83","null",
"1400000US06037102104","Census Tract 1021.04, Los Angeles County, California","4003","null","464","null","3105","null","520","null","76","58","null","null","15","24","null","null","404","null","227","null","0","null","13","null","37","null","57","null","366","193","null","null","73","null","65","null","293","null","181","null",
"1400000US06037102105","Census Tract 1021.05, Los Angeles County, California","1674","null","318","null","724","null","226","null","6","13","null","null","27","41","null","null","107","null","61","null","8","null","17","null","367","null","180","null","435","326","null","null","354","null","321","null","81","null","49","null",
"1400000US06037102107","Census Tract 1021.07, Los Angeles County, California","3920","null","703","null","3035","null","743","null","64","78","null","null","0","13","null","null","460","null","260","null","0","null","13","null","163","null","154","null","198","146","null","null","101","null","120","null","97","null","87","null",
"1400000US06037103101","Census Tract 1031.01, Los Angeles County, California","2481","null","333","null","1794","null","303","null","21","20","null","null","0","13","null","null","213","null","100","null","0","null","13","null","151","null","109","null","302","206","null","null","280","null","206","null","22","null","19","null",
"1400000US06037103102","Census Tract 1031.02, Los Angeles County, California","4692","null","538","null","3443","null","492","null","0","13","null","null","0","13","null","null","413","null","154","null","0","null","13","null","603","null","277","null","233","144","null","null","123","null","82","null","110","null","112","null",
"1400000US06037103201","Census Tract 1032.01, Los Angeles County, California","4179","null","454","null","3373","null","544","null","31","32","null","null","0","13","null","null","161","null","123","null","5","null","10","null","33","null","32","null","576","457","null","null","395","null","292","null","181","null","218","null",
"1400000US06037103202","Census Tract 1032.02, Los Angeles County, California","2082","null","668","null","1560","null","333","null","1","2","null","null","0","13","null","null","56","null","112","null","0","null","13","null","453","null","628","null","12","19","null","null","1","null","3","null","11","null","18","null",
"1400000US06037103300","Census Tract 1033, Los Angeles County, California","3842","null","542","null","2939","null","520","null","88","92","null","null","23","30","null","null","288","null","157","null","0","null","13","null","84","null","102","null","420","295","null","null","174","null","207","null","246","null","184","null",
"1400000US06037103401","Census Tract 1034.01, Los Angeles County, California","2643","null","427","null","1729","null","650","null","0","13","null","null","16","20","null","null","687","null","474","null","0","null","13","null","14","null","23","null","197","123","null","null","103","null","85","null","94","null","87","null",
"1400000US06037103402","Census Tract 1034.02, Los Angeles County, California","3902","null","621","null","2260","null","565","null","449","334","null","null","0","13","null","null","512","null","376","null","0","null","13","null","536","null","339","null","145","109","null","null","74","null","62","null","71","null","93","null",
"1400000US06037104103","Census Tract 1041.03, Los Angeles County, California","4204","null","917","null","1724","null","499","null","551","375","null","null","29","31","null","null","202","null","100","null","0","null","13","null","472","null","215","null","1226","868","null","null","1096","null","865","null","130","null","92","null",
"1400000US06037104105","Census Tract 1041.05, Los Angeles County, California","5789","null","817","null","2573","null","511","null","254","117","null","null","38","52","null","null","306","null","74","null","0","null","19","null","1818","null","780","null","800","355","null","null","765","null","347","null","35","null","59","null",
"1400000US06037104108","Census Tract 1041.08, Los Angeles County, California","5138","null","621","null","2370","null","692","null","275","130","null","null","14","20","null","null","88","null","78","null","30","null","43","null","1719","null","685","null","642","415","null","null","527","null","418","null","115","null","87","null",
"1400000US06037104124","Census Tract 1041.24, Los Angeles County, California","3889","null","483","null","2058","null","406","null","483","131","null","null","124","158","null","null","379","null","241","null","0","null","13","null","471","null","362","null","374","279","null","null","354","null","274","null","20","null","30","null",
"1400000US06037104201","Census Tract 1042.01, Los Angeles County, California","4599","null","704","null","1629","null","401","null","560","215","null","null","60","51","null","null","14","null","20","null","0","null","13","null","1772","null","638","null","564","377","null","null","553","null","376","null","11","null","15","null",
"1400000US06037104203","Census Tract 1042.03, Los Angeles County, California","5178","null","837","null","2465","null","415","null","297","176","null","null","81","99","null","null","19","null","23","null","0","null","19","null","1463","null","581","null","853","649","null","null","853","null","649","null","0","null","19","null",
"1400000US06037104204","Census Tract 1042.04, Los Angeles County, California","3749","null","571","null","1985","null","314","null","204","97","null","null","64","82","null","null","195","null","106","null","0","null","13","null","686","null","317","null","615","372","null","null","503","null","349","null","112","null","105","null",
"1400000US06037104310","Census Tract 1043.10, Los Angeles County, California","4875","null","611","null","1824","null","613","null","117","88","null","null","0","13","null","null","4","null","6","null","0","null","13","null","2116","null","688","null","814","438","null","null","652","null","418","null","162","null","153","null",
"1400000US06037104321","Census Tract 1043.21, Los Angeles County, California","3115","null","597","null","1311","null","511","null","97","72","null","null","0","13","null","null","9","null","14","null","0","null","13","null","1026","null","471","null","672","541","null","null","663","null","541","null","9","null","14","null",
"1400000US06037104322","Census Tract 1043.22, Los Angeles County, California","1892","null","256","null","927","null","314","null","18","22","null","null","2","5","null","null","30","null","31","null","0","null","13","null","778","null","192","null","137","237","null","null","110","null","242","null","27","null","42","null",
"1400000US06037104401","Census Tract 1044.01, Los Angeles County, California","3066","null","475","null","1456","null","378","null","31","29","null","null","13","19","null","null","32","null","51","null","6","null","9","null","1340","null","444","null","188","107","null","null","188","null","107","null","0","null","13","null",
"1400000US06037104403","Census Tract 1044.03, Los Angeles County, California","2724","null","334","null","1131","null","376","null","0","13","null","null","0","13","null","null","204","null","184","null","0","null","13","null","1016","null","249","null","373","200","null","null","339","null","205","null","34","null","45","null",
"1400000US06037104404","Census Tract 1044.04, Los Angeles County, California","3413","null","618","null","1398","null","333","null","0","13","null","null","14","23","null","null","79","null","90","null","0","null","13","null","1425","null","504","null","497","354","null","null","464","null","351","null","33","null","47","null",
"1400000US06037104500","Census Tract 1045, Los Angeles County, California","3119","null","751","null","1294","null","367","null","1","4","null","null","7","11","null","null","1","null","2","null","0","null","13","null","1031","null","401","null","785","708","null","null","761","null","708","null","24","null","34","null",
"1400000US06037104610","Census Tract 1046.10, Los Angeles County, California","3274","null","552","null","1435","null","373","null","0","13","null","null","31","52","null","null","0","null","13","null","0","null","13","null","1532","null","503","null","276","197","null","null","253","null","191","null","23","null","33","null",
"1400000US06037104620","Census Tract 1046.20, Los Angeles County, California","3490","null","541","null","1502","null","458","null","38","49","null","null","37","60","null","null","21","null","32","null","0","null","13","null","1216","null","391","null","676","355","null","null","676","null","355","null","0","null","13","null",
"1400000US06037104701","Census Tract 1047.01, Los Angeles County, California","3812","null","410","null","2128","null","423","null","19","15","null","null","37","57","null","null","10","null","12","null","19","null","27","null","1327","null","387","null","272","160","null","null","237","null","155","null","35","null","39","null",
"1400000US06037104703","Census Tract 1047.03, Los Angeles County, California","2367","null","548","null","1017","null","298","null","164","129","null","null","6","9","null","null","0","null","13","null","0","null","13","null","643","null","299","null","537","471","null","null","523","null","470","null","14","null","23","null",
"1400000US06037104704","Census Tract 1047.04, Los Angeles County, California","4487","null","794","null","1854","null","507","null","392","212","null","null","0","13","null","null","248","null","219","null","0","null","13","null","1124","null","466","null","869","553","null","null","795","null","555","null","74","null","66","null",
"1400000US06037104821","Census Tract 1048.21, Los Angeles County, California","3514","null","436","null","1502","null","342","null","42","56","null","null","9","13","null","null","44","null","47","null","0","null","13","null","1313","null","507","null","604","301","null","null","599","null","302","null","5","null","8","null",
"1400000US06037104822","Census Tract 1048.22, Los Angeles County, California","2668","null","343","null","1253","null","368","null","12","13","null","null","53","76","null","null","105","null","53","null","0","null","13","null","883","null","350","null","362","195","null","null","309","null","189","null","53","null","38","null",
"1400000US06037104823","Census Tract 1048.23, Los Angeles County, California","3346","null","788","null","1109","null","366","null","0","13","null","null","12","20","null","null","375","null","132","null","0","null","13","null","815","null","410","null","1035","695","null","null","972","null","654","null","63","null","83","null",
"1400000US06037104824","Census Tract 1048.24, Los Angeles County, California","2781","null","1187","null","889","null","466","null","21","34","null","null","52","61","null","null","16","null","26","null","0","null","13","null","1166","null","1143","null","637","381","null","null","587","null","383","null","50","null","78","null",
"1400000US06037106010","Census Tract 1060.10, Los Angeles County, California","3494","null","673","null","1853","null","363","null","32","28","null","null","28","31","null","null","79","null","55","null","0","null","13","null","684","null","334","null","818","546","null","null","742","null","546","null","76","null","67","null",
"1400000US06037106020","Census Tract 1060.20, Los Angeles County, California","4790","null","913","null","2561","null","403","null","16","20","null","null","59","90","null","null","146","null","126","null","0","null","13","null","1632","null","938","null","376","228","null","null","214","null","134","null","162","null","146","null",
"1400000US06037106111","Census Tract 1061.11, Los Angeles County, California","4694","null","740","null","2465","null","554","null","344","355","null","null","0","13","null","null","509","null","298","null","0","null","13","null","785","null","306","null","591","412","null","null","462","null","412","null","129","null","106","null",
"1400000US06037106112","Census Tract 1061.12, Los Angeles County, California","5167","null","519","null","2779","null","451","null","195","129","null","null","294","281","null","null","395","null","191","null","36","null","53","null","1024","null","523","null","444","256","null","null","184","null","124","null","260","null","219","null",
"1400000US06037106113","Census Tract 1061.13, Los Angeles County, California","3797","null","478","null","2224","null","371","null","130","98","null","null","23","43","null","null","235","null","110","null","1","null","5","null","490","null","216","null","694","426","null","null","694","null","426","null","0","null","13","null",
"1400000US06037106114","Census Tract 1061.14, Los Angeles County, California","6658","null","930","null","3538","null","583","null","120","127","null","null","44","39","null","null","684","null","633","null","0","null","19","null","1625","null","541","null","647","566","null","null","594","null","562","null","53","null","77","null",
"1400000US06037106403","Census Tract 1064.03, Los Angeles County, California","3501","null","422","null","1971","null","527","null","129","114","null","null","30","35","null","null","35","null","50","null","66","null","103","null","991","null","379","null","279","177","null","null","245","null","169","null","34","null","31","null",
"1400000US06037106405","Census Tract 1064.05, Los Angeles County, California","4405","null","732","null","2147","null","459","null","304","275","null","null","27","36","null","null","166","null","159","null","0","null","13","null","1098","null","532","null","663","378","null","null","426","null","327","null","237","null","192","null",
"1400000US06037106406","Census Tract 1064.06, Los Angeles County, California","6360","null","1038","null","3383","null","707","null","172","131","null","null","31","46","null","null","424","null","223","null","0","null","19","null","1449","null","705","null","901","730","null","null","779","null","697","null","122","null","106","null",
"1400000US06037106407","Census Tract 1064.07, Los Angeles County, California","2558","null","306","null","1489","null","269","null","219","132","null","null","5","6","null","null","99","null","65","null","0","null","13","null","576","null","291","null","170","156","null","null","156","null","155","null","14","null","22","null",
"1400000US06037106408","Census Tract 1064.08, Los Angeles County, California","3749","null","575","null","1947","null","369","null","96","84","null","null","5","8","null","null","133","null","92","null","8","null","13","null","864","null","301","null","696","455","null","null","563","null","441","null","133","null","124","null",
"1400000US06037106510","Census Tract 1065.10, Los Angeles County, California","5738","null","1085","null","3015","null","541","null","199","120","null","null","39","45","null","null","1251","null","797","null","0","null","19","null","666","null","439","null","568","409","null","null","357","null","362","null","211","null","184","null",
"1400000US06037106520","Census Tract 1065.20, Los Angeles County, California","5861","null","696","null","3750","null","584","null","170","159","null","null","64","89","null","null","90","null","68","null","0","null","19","null","1473","null","550","null","314","189","null","null","278","null","187","null","36","null","43","null",
"1400000US06037106603","Census Tract 1066.03, Los Angeles County, California","3646","null","676","null","2118","null","472","null","76","74","null","null","0","13","null","null","802","null","282","null","4","null","11","null","127","null","114","null","519","503","null","null","467","null","505","null","52","null","44","null",
"1400000US06037106604","Census Tract 1066.04, Los Angeles County, California","3749","null","514","null","1940","null","493","null","99","93","null","null","70","76","null","null","205","null","185","null","0","null","13","null","818","null","336","null","617","349","null","null","591","null","340","null","26","null","41","null",
"1400000US06037106641","Census Tract 1066.41, Los Angeles County, California","2200","null","268","null","1629","null","250","null","25","25","null","null","0","13","null","null","294","null","76","null","0","null","13","null","29","null","31","null","223","111","null","null","73","null","66","null","150","null","85","null",
"1400000US06037106642","Census Tract 1066.42, Los Angeles County, California","3421","null","690","null","2449","null","512","null","101","77","null","null","49","67","null","null","169","null","56","null","0","null","13","null","190","null","234","null","463","310","null","null","332","null","281","null","131","null","122","null",
"1400000US06037106643","Census Tract 1066.43, Los Angeles County, California","4432","null","820","null","2524","null","511","null","283","278","null","null","55","80","null","null","897","null","321","null","0","null","13","null","623","null","654","null","50","62","null","null","0","null","13","null","50","null","62","null",
"1400000US06037106645","Census Tract 1066.45, Los Angeles County, California","3874","null","635","null","3048","null","614","null","12","22","null","null","150","128","null","null","452","null","155","null","0","null","13","null","41","null","40","null","171","108","null","null","77","null","83","null","94","null","72","null",
"1400000US06037106646","Census Tract 1066.46, Los Angeles County, California","3002","null","305","null","1674","null","271","null","178","103","null","null","4","10","null","null","578","null","174","null","38","null","55","null","266","null","131","null","264","108","null","null","148","null","80","null","116","null","76","null",
"1400000US06037106648","Census Tract 1066.48, Los Angeles County, California","4570","null","443","null","2552","null","552","null","13","22","null","null","0","13","null","null","0","null","13","null","0","null","13","null","1153","null","454","null","852","470","null","null","714","null","491","null","138","null","111","null",
"1400000US06037106649","Census Tract 1066.49, Los Angeles County, California","2816","null","669","null","823","null","187","null","92","91","null","null","9","13","null","null","457","null","169","null","0","null","13","null","1054","null","682","null","381","138","null","null","314","null","124","null","67","null","42","null",
