"OBJECTID","output_nc_name","old_nc_name","new_nc_name","nc_id","WADDRESS","DWEBSITE","DEMAIL","DPHONE","CERTIFIED","TOOLTIP","NLA_URL","SERVICE_RE"
1,"ARLETA NC","ARLETA NC","ARLETA NC",6,"http://www.arletanc.org/","http://empowerla.org/ANC","ANC@EmpowerLA.org","213-978-1551",2002-10-22,"ARLETA NC","navigatela/reports/nc_reports.cfm?id=6","REGION 1 - NORTH EAST VALLEY"
2,"ARROYO SECO NC","ARROYO SECO NC","ARROYO SECO NC",42,"http://www.asnc.us/","http://empowerla.org/ASNC","ASNC@EmpowerLA.org","213-978-1551",2002-10-02,"ARROYO SECO NC","navigatela/reports/nc_reports.cfm?id=42","REGION 8 - NORTH EAST LA"
4,"ATWATER VILLAGE NC","ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,"http://www.atwatervillage.org/","http://empowerla.org/AVNC","AVNC@EmpowerLA.org","213-978-1551",2003-02-11,"ATWATER VILLAGE NC","navigatela/reports/nc_reports.cfm?id=37","REGION 7 - EAST"
5,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,"http://babcnc.org/","http://empowerla.org/BABCNC","BABCNC@EmpowerLA.org","213-978-1551",2002-10-08,"BEL AIR-BEVERLY CREST NC","navigatela/reports/nc_reports.cfm?id=64","REGION 11 - WEST LA"
6,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,"http://bhnc.net/","http://empowerla.org/BHNC","BHNC@EmpowerLA.org","213-978-1551",2002-05-21,"BOYLE HEIGHTS NC","navigatela/reports/nc_reports.cfm?id=50","REGION 8 - NORTH EAST LA"
7,"CANOGA PARK NC","CANOGA PARK NC","CANOGA PARK NC",13,"http://www.canogaparknc.org/","http://empowerla.org/CPNC","CPNC@EmpowerLA.org","213-978-1551",2002-06-18,"CANOGA PARK NC","navigatela/reports/nc_reports.cfm?id=13","REGION 3 - SOUTH WEST VALLEY"
8,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,"https://centralalameda.com/","https://empowerla.org/canc/","CANC@EmpowerLA.org","213-978-1551",2003-09-30,"CENTRAL ALAMEDA NC","navigatela/reports/nc_reports.cfm?id=110","REGION 9 - SOUTH LA 2"
9,"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",32,"http://www.chnc.org/","http://empowerla.org/CHNC","CHNC@EmpowerLA.org","213-978-1551",2002-04-09,"CENTRAL HOLLYWOOD NC","navigatela/reports/nc_reports.cfm?id=32","REGION 5 - CENTRAL 1"
10,"CENTRAL SAN PEDRO NC","CENTRAL SAN PEDRO NC","CENTRAL SAN PEDRO NC",95,"http://centralsanpedro.org/","http://empowerla.org/CENTRALSPNC","CentralSPNC@EmpowerLA.org","213-978-1551",2002-02-12,"CENTRAL SAN PEDRO NC","navigatela/reports/nc_reports.cfm?id=95","REGION 12 - HARBOR"
11,"CHATSWORTH NC","CHATSWORTH NC","CHATSWORTH NC",99,"http://chatsworthcouncil.org/","http://empowerla.org/CNC","CNC@EmpowerLA.org","213-978-1551",2003-04-29,"CHATSWORTH NC","navigatela/reports/nc_reports.cfm?id=99","REGION 2 - NORTH WEST VALLEY"
