"NC_ID","cert_name","month","pen_count","avg_depl","dest_ct","origin_ct"
6,"ARLETA NC",2019-03-01,0,0,0,0
6,"ARLETA NC",2019-04-01,0,0,24,24
6,"ARLETA NC",2019-05-01,0,2,35,37
6,"ARLETA NC",2019-06-01,0,3,45,44
6,"ARLETA NC",2019-07-01,0,2,59,57
6,"ARLETA NC",2019-08-01,0,2,94,77
6,"ARLETA NC",2019-09-01,0,2,52,35
6,"ARLETA NC",2019-10-01,0,4,71,57
6,"ARLETA NC",2019-11-01,0,0,10,7
6,"ARLETA NC",2019-12-01,0,0,6,5
6,"ARLETA NC",2020-01-01,0,0,1,1
6,"ARLETA NC",2020-02-01,0,0,0,0
6,"ARLETA NC",2020-03-01,0,0,2,2
6,"ARLETA NC",2020-04-01,0,0,0,0
6,"ARLETA NC",2020-05-01,0,0,0,0
6,"ARLETA NC",2020-06-01,0,0,0,0
6,"ARLETA NC",2020-07-01,0,0,6,2
6,"ARLETA NC",2020-08-01,0,0,9,9
6,"ARLETA NC",2020-09-01,0,0,0,0
6,"ARLETA NC",2020-10-01,0,1,19,19
6,"ARLETA NC",2020-11-01,0,1,3,1
6,"ARLETA NC",2020-12-01,0,1,0,0
6,"ARLETA NC",2021-01-01,1,0,0,0
6,"ARLETA NC",2021-02-01,0,0,0,0
6,"ARLETA NC",2021-03-01,0,0,5,1
6,"ARLETA NC",2021-04-01,0,1,15,9
6,"ARLETA NC",2021-05-01,1,0,3,3
6,"ARLETA NC",2021-06-01,1,0,8,4
6,"ARLETA NC",2021-07-01,0,1,13,10
6,"ARLETA NC",2021-08-01,0,0,12,5
6,"ARLETA NC",2021-09-01,0,0,14,10
6,"ARLETA NC",2021-10-01,0,0,13,11
6,"ARLETA NC",2021-11-01,0,0,8,1
6,"ARLETA NC",2021-12-01,0,1,0,0
6,"ARLETA NC",2022-01-01,0,0,6,3
6,"ARLETA NC",2022-02-01,0,0,13,7
6,"ARLETA NC",2022-03-01,0,1,18,11
6,"ARLETA NC",2022-04-01,0,1,20,13
6,"ARLETA NC",2022-05-01,0,0,0,0
6,"ARLETA NC",2022-06-01,0,1,29,19
6,"ARLETA NC",2022-07-01,1,0,12,10
6,"ARLETA NC",2022-08-01,1,3,56,48
6,"ARLETA NC",2022-09-01,1,2,46,31
42,"ARROYO SECO NC",2019-03-01,0,0,0,0
42,"ARROYO SECO NC",2019-04-01,0,2,133,130
42,"ARROYO SECO NC",2019-05-01,0,2,90,87
42,"ARROYO SECO NC",2019-06-01,2,2,89,76
42,"ARROYO SECO NC",2019-07-01,0,3,85,83
42,"ARROYO SECO NC",2019-08-01,0,3,133,66
42,"ARROYO SECO NC",2019-09-01,0,3,144,99
42,"ARROYO SECO NC",2019-10-01,0,3,153,90
42,"ARROYO SECO NC",2019-11-01,0,3,91,79
42,"ARROYO SECO NC",2019-12-01,1,2,50,28
42,"ARROYO SECO NC",2020-01-01,0,1,30,20
42,"ARROYO SECO NC",2020-02-01,0,1,22,10
42,"ARROYO SECO NC",2020-03-01,0,1,16,8
42,"ARROYO SECO NC",2020-04-01,0,0,0,0
42,"ARROYO SECO NC",2020-05-01,0,0,9,6
42,"ARROYO SECO NC",2020-06-01,0,1,20,10
42,"ARROYO SECO NC",2020-07-01,0,1,20,11
42,"ARROYO SECO NC",2020-08-01,0,0,6,3
42,"ARROYO SECO NC",2020-09-01,0,1,24,13
