"new_nc_name","Damaged or unsanitary Vehicle","Other","Vehicle improperly parked (lay","Parked on Private Property","Unpermitted Company and/or veh","Low Battery","Sidewalk Riding","Vehicle listed as available, b"
"ARLETA NC",2,1,1,0,0,0,0,0
"ARROYO SECO NC",2,0,2,1,1,0,0,0
"ARTS DISTRICT LITTLE TOKYO NC",42,1,1850,255,4,1,1,33
"ATWATER VILLAGE NC",1,0,24,6,0,1,0,0
"BEL AIR-BEVERLY CREST NC",1,6,4,0,0,0,0,0
"BOYLE HEIGHTS NC",1,1,22,0,0,0,0,1
"CANOGA PARK NC",2,0,0,0,0,0,0,1
"CENTRAL ALAMEDA NC",0,2,1,0,1,0,0,0
"CENTRAL HOLLYWOOD NC",23,520,2340,132,4,1,2,8
"CENTRAL SAN PEDRO NC",0,0,39,1,0,0,0,1
"CHATSWORTH NC",0,1,2,0,1,0,0,0
"COASTAL SAN PEDRO NC",0,0,20,3,0,0,0,0
"COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU)",8,1,0,2,0,0,0,0
"DEL REY NC",1,0,65,4,0,0,0,0
"DOWNTOWN LOS ANGELES",80,15,3850,537,7,11,10,103
"EAGLE ROCK NC",0,1,15,0,0,0,0,0
"EAST HOLLYWOOD NC",4,6,356,46,0,0,0,0
"ECHO PARK NC",12,7,668,29,1,0,1,2
"ELYSIAN VALLEY RIVERSIDE NC",0,1,0,0,0,0,0,0
"EMPOWERMENT CONGRESS CENTRAL AREA NC",5,3,19,0,1,0,1,1
"EMPOWERMENT CONGRESS NORTH AREA NC",8,4,881,66,1,0,0,2
"EMPOWERMENT CONGRESS SOUTHWEST AREA NDC",2,5,3,2,0,1,0,0
"EMPOWERMENT CONGRESS WEST AREA NDC",2,2,6,2,0,0,0,0
"ENCINO NC",0,2,6,0,0,0,0,0
"FOOTHILL TRAILS DISTRICT NC",0,1,1,0,0,0,0,0
"GLASSELL PARK NC",0,0,3,0,0,0,0,0
"GRANADA HILLS SOUTH NC",0,0,4,0,0,0,0,0
"GREATER CYPRESS PARK NC",0,0,6,0,0,0,0,0
"GREATER TOLUCA LAKE NC",0,0,24,1,0,0,1,0
"GREATER VALLEY GLEN",1,2,5,1,0,0,0,0
"GREATER WILSHIRE NC",4,18,135,8,0,1,1,4
"HARBOR GATEWAY NORTH NC",1,1,0,0,0,0,0,0
"HERMON NC",2,0,0,0,0,0,0,0
"HISTORIC CULTURAL NORTH NC",7,3,599,61,0,1,0,4
"HISTORIC HIGHLAND PARK NC",3,1,5,1,0,0,0,0
"HOLLYWOOD HILLS WEST NC",10,182,870,25,1,2,0,12
"HOLLYWOOD STUDIO DISTRICT NC",6,8,399,40,0,0,0,0
"HOLLYWOOD UNITED NC",5,55,471,12,0,0,1,3
"LA-32 NC",2,2,3,0,0,0,0,1
"LAKE BALBOA NC",1,1,3,0,0,0,0,0
"LINCOLN HEIGHTS NC",1,0,22,1,0,0,0,1
"LOS FELIZ NC",2,1,268,27,1,0,3,0
"MACARTHUR PARK NC",0,0,53,3,0,0,0,0
"MAR VISTA NC",2,9,244,3,0,1,1,3
"MID CITY WEST CC",4,5,369,39,0,0,0,16
"NC VALLEY VILLAGE",2,6,21,12,0,0,2,0
"NOHO NC",4,2,203,29,1,0,15,0
"NORTH HILLS EAST NC",0,0,1,0,0,0,0,0
"NORTH HILLS WEST NC",0,0,1,1,0,0,0,0
"NORTH HOLLYWOOD NORTH EAST NC",3,0,12,2,0,0,0,0
"NORTH WESTWOOD NC",1,1,129,9,0,0,3,58
"NORTHRIDGE EAST NC",1,0,83,2,0,1,0,0
"NORTHRIDGE SOUTH NC",0,1,6,0,0,0,0,0
"NORTHRIDGE WEST NC",0,0,5,1,0,0,0,0
"NORTHWEST SAN PEDRO NC",1,0,5,0,1,0,0,0
"OLYMPIC PARK NC",1,0,34,1,0,0,0,0
"P.I.C.O. NC",0,0,14,0,0,0,0,0
"PACOIMA NC",3,3,0,1,0,0,0,0
"PALMS NC",3,0,41,7,0,0,0,1
"PANORAMA CITY NC",0,0,1,0,0,0,0,0
"PARK MESA HEIGHTS NC",1,1,9,2,1,0,0,0
"PICO UNION NC",6,1,82,5,0,0,0,1
"PORTER RANCH NC",0,0,1,0,0,0,0,0
"RAMPART VILLAGE NC",0,0,149,13,2,0,0,0
