"NC_ID","data_nc_name","cert_name","month_yr","avg_depl"
6,"ARLETA NC","ARLETA NC",2019-01-01,0
6,"ARLETA NC","ARLETA NC",2019-02-01,0
6,"ARLETA NC","ARLETA NC",2019-03-01,0
6,"ARLETA NC","ARLETA NC",2019-04-01,0
6,"ARLETA NC","ARLETA NC",2019-05-01,2
6,"ARLETA NC","ARLETA NC",2019-06-01,3
6,"ARLETA NC","ARLETA NC",2019-07-01,2
6,"ARLETA NC","ARLETA NC",2019-08-01,2
6,"ARLETA NC","ARLETA NC",2019-09-01,2
6,"ARLETA NC","ARLETA NC",2019-10-01,4
6,"ARLETA NC","ARLETA NC",2019-11-01,0
6,"ARLETA NC","ARLETA NC",2019-12-01,0
6,"ARLETA NC","ARLETA NC",2020-01-01,0
6,"ARLETA NC","ARLETA NC",2020-02-01,0
6,"ARLETA NC","ARLETA NC",2020-03-01,0
6,"ARLETA NC","ARLETA NC",2020-04-01,0
6,"ARLETA NC","ARLETA NC",2020-05-01,0
6,"ARLETA NC","ARLETA NC",2020-06-01,0
6,"ARLETA NC","ARLETA NC",2020-07-01,0
6,"ARLETA NC","ARLETA NC",2020-08-01,0
6,"ARLETA NC","ARLETA NC",2020-09-01,0
6,"ARLETA NC","ARLETA NC",2020-10-01,1
6,"ARLETA NC","ARLETA NC",2020-11-01,1
6,"ARLETA NC","ARLETA NC",2020-12-01,1
6,"ARLETA NC","ARLETA NC",2021-01-01,0
6,"ARLETA NC","ARLETA NC",2021-02-01,0
6,"ARLETA NC","ARLETA NC",2021-03-01,0
6,"ARLETA NC","ARLETA NC",2021-04-01,1
6,"ARLETA NC","ARLETA NC",2021-05-01,0
6,"ARLETA NC","ARLETA NC",2021-06-01,0
6,"ARLETA NC","ARLETA NC",2021-07-01,1
6,"ARLETA NC","ARLETA NC",2021-08-01,0
6,"ARLETA NC","ARLETA NC",2021-09-01,0
6,"ARLETA NC","ARLETA NC",2021-10-01,0
6,"ARLETA NC","ARLETA NC",2021-11-01,0
6,"ARLETA NC","ARLETA NC",2021-12-01,1
6,"ARLETA NC","ARLETA NC",2022-01-01,0
6,"ARLETA NC","ARLETA NC",2022-02-01,0
6,"ARLETA NC","ARLETA NC",2022-03-01,1
6,"ARLETA NC","ARLETA NC",2022-04-01,1
6,"ARLETA NC","ARLETA NC",2022-05-01,0
6,"ARLETA NC","ARLETA NC",2022-06-01,1
6,"ARLETA NC","ARLETA NC",2022-07-01,0
6,"ARLETA NC","ARLETA NC",2022-08-01,3
6,"ARLETA NC","ARLETA NC",2022-09-01,2
42,"ARROYO SECO NC","ARROYO SECO NC",2019-01-01,0
42,"ARROYO SECO NC","ARROYO SECO NC",2019-02-01,0
42,"ARROYO SECO NC","ARROYO SECO NC",2019-03-01,0
42,"ARROYO SECO NC","ARROYO SECO NC",2019-04-01,2
42,"ARROYO SECO NC","ARROYO SECO NC",2019-05-01,2
42,"ARROYO SECO NC","ARROYO SECO NC",2019-06-01,2
42,"ARROYO SECO NC","ARROYO SECO NC",2019-07-01,3
42,"ARROYO SECO NC","ARROYO SECO NC",2019-08-01,3
42,"ARROYO SECO NC","ARROYO SECO NC",2019-09-01,3
42,"ARROYO SECO NC","ARROYO SECO NC",2019-10-01,3
42,"ARROYO SECO NC","ARROYO SECO NC",2019-11-01,3
42,"ARROYO SECO NC","ARROYO SECO NC",2019-12-01,2
42,"ARROYO SECO NC","ARROYO SECO NC",2020-01-01,1
42,"ARROYO SECO NC","ARROYO SECO NC",2020-02-01,1
42,"ARROYO SECO NC","ARROYO SECO NC",2020-03-01,1
42,"ARROYO SECO NC","ARROYO SECO NC",2020-04-01,0
42,"ARROYO SECO NC","ARROYO SECO NC",2020-05-01,0
42,"ARROYO SECO NC","ARROYO SECO NC",2020-06-01,1
42,"ARROYO SECO NC","ARROYO SECO NC",2020-07-01,1
42,"ARROYO SECO NC","ARROYO SECO NC",2020-08-01,0
42,"ARROYO SECO NC","ARROYO SECO NC",2020-09-01,1
42,"ARROYO SECO NC","ARROYO SECO NC",2020-10-01,1
42,"ARROYO SECO NC","ARROYO SECO NC",2020-11-01,0
42,"ARROYO SECO NC","ARROYO SECO NC",2020-12-01,0
42,"ARROYO SECO NC","ARROYO SECO NC",2021-01-01,1
42,"ARROYO SECO NC","ARROYO SECO NC",2021-02-01,1
42,"ARROYO SECO NC","ARROYO SECO NC",2021-03-01,1
42,"ARROYO SECO NC","ARROYO SECO NC",2021-04-01,1
42,"ARROYO SECO NC","ARROYO SECO NC",2021-05-01,1
42,"ARROYO SECO NC","ARROYO SECO NC",2021-06-01,1
42,"ARROYO SECO NC","ARROYO SECO NC",2021-07-01,2
42,"ARROYO SECO NC","ARROYO SECO NC",2021-08-01,2
42,"ARROYO SECO NC","ARROYO SECO NC",2021-09-01,3
42,"ARROYO SECO NC","ARROYO SECO NC",2021-10-01,7
42,"ARROYO SECO NC","ARROYO SECO NC",2021-11-01,7
42,"ARROYO SECO NC","ARROYO SECO NC",2021-12-01,5
42,"ARROYO SECO NC","ARROYO SECO NC",2022-01-01,5
42,"ARROYO SECO NC","ARROYO SECO NC",2022-02-01,11
42,"ARROYO SECO NC","ARROYO SECO NC",2022-03-01,9
42,"ARROYO SECO NC","ARROYO SECO NC",2022-04-01,13
42,"ARROYO SECO NC","ARROYO SECO NC",2022-05-01,15
42,"ARROYO SECO NC","ARROYO SECO NC",2022-06-01,10
42,"ARROYO SECO NC","ARROYO SECO NC",2022-07-01,6
42,"ARROYO SECO NC","ARROYO SECO NC",2022-08-01,14
42,"ARROYO SECO NC","ARROYO SECO NC",2022-09-01,6
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2019-01-01,0
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2019-02-01,0
