"old_nc_name","new_nc_name","nc_id","Month","Avg deployment"
"ARLETA NC","ARLETA NC",6,2022-01-01,0
"ARLETA NC","ARLETA NC",6,2022-02-01,0
"ARLETA NC","ARLETA NC",6,2022-03-01,1
"ARLETA NC","ARLETA NC",6,2022-04-01,1
"ARLETA NC","ARLETA NC",6,2022-05-01,0
"ARLETA NC","ARLETA NC",6,2022-06-01,1
"ARLETA NC","ARLETA NC",6,2022-07-01,0
"ARLETA NC","ARLETA NC",6,2022-08-01,3
"ARLETA NC","ARLETA NC",6,2022-09-01,2
"ARLETA NC","ARLETA NC",6,2022-10-01,NA
"ARLETA NC","ARLETA NC",6,2022-11-01,NA
"ARLETA NC","ARLETA NC",6,2022-12-01,NA
"ARLETA NC","ARLETA NC",6,2021-01-01,0
"ARLETA NC","ARLETA NC",6,2021-02-01,0
"ARLETA NC","ARLETA NC",6,2021-03-01,0
"ARLETA NC","ARLETA NC",6,2021-04-01,1
"ARLETA NC","ARLETA NC",6,2021-05-01,0
"ARLETA NC","ARLETA NC",6,2021-06-01,0
"ARLETA NC","ARLETA NC",6,2021-07-01,1
"ARLETA NC","ARLETA NC",6,2021-08-01,0
"ARLETA NC","ARLETA NC",6,2021-09-01,0
"ARLETA NC","ARLETA NC",6,2021-10-01,0
"ARLETA NC","ARLETA NC",6,2021-11-01,0
"ARLETA NC","ARLETA NC",6,2021-12-01,1
"ARLETA NC","ARLETA NC",6,2020-01-01,0
"ARLETA NC","ARLETA NC",6,2020-02-01,0
"ARLETA NC","ARLETA NC",6,2020-03-01,0
"ARLETA NC","ARLETA NC",6,2020-04-01,0
"ARLETA NC","ARLETA NC",6,2020-05-01,0
"ARLETA NC","ARLETA NC",6,2020-06-01,0
"ARLETA NC","ARLETA NC",6,2020-07-01,0
"ARLETA NC","ARLETA NC",6,2020-08-01,0
"ARLETA NC","ARLETA NC",6,2020-09-01,0
"ARLETA NC","ARLETA NC",6,2020-10-01,1
"ARLETA NC","ARLETA NC",6,2020-11-01,1
"ARLETA NC","ARLETA NC",6,2020-12-01,1
"ARLETA NC","ARLETA NC",6,2019-01-01,0
"ARLETA NC","ARLETA NC",6,2019-02-01,0
"ARLETA NC","ARLETA NC",6,2019-03-01,0
"ARLETA NC","ARLETA NC",6,2019-04-01,0
"ARLETA NC","ARLETA NC",6,2019-05-01,2
"ARLETA NC","ARLETA NC",6,2019-06-01,3
"ARLETA NC","ARLETA NC",6,2019-07-01,2
"ARLETA NC","ARLETA NC",6,2019-08-01,2
"ARLETA NC","ARLETA NC",6,2019-09-01,2
"ARLETA NC","ARLETA NC",6,2019-10-01,4
"ARLETA NC","ARLETA NC",6,2019-11-01,0
"ARLETA NC","ARLETA NC",6,2019-12-01,0
"ARROYO SECO NC","ARROYO SECO NC",42,2022-01-01,5
"ARROYO SECO NC","ARROYO SECO NC",42,2022-02-01,11
"ARROYO SECO NC","ARROYO SECO NC",42,2022-03-01,9
"ARROYO SECO NC","ARROYO SECO NC",42,2022-04-01,13
"ARROYO SECO NC","ARROYO SECO NC",42,2022-05-01,15
"ARROYO SECO NC","ARROYO SECO NC",42,2022-06-01,10
"ARROYO SECO NC","ARROYO SECO NC",42,2022-07-01,6
"ARROYO SECO NC","ARROYO SECO NC",42,2022-08-01,14
"ARROYO SECO NC","ARROYO SECO NC",42,2022-09-01,6
"ARROYO SECO NC","ARROYO SECO NC",42,2022-10-01,NA
"ARROYO SECO NC","ARROYO SECO NC",42,2022-11-01,NA
"ARROYO SECO NC","ARROYO SECO NC",42,2022-12-01,NA
"ARROYO SECO NC","ARROYO SECO NC",42,2021-01-01,1
"ARROYO SECO NC","ARROYO SECO NC",42,2021-02-01,1
"ARROYO SECO NC","ARROYO SECO NC",42,2021-03-01,1
"ARROYO SECO NC","ARROYO SECO NC",42,2021-04-01,1
"ARROYO SECO NC","ARROYO SECO NC",42,2021-05-01,1
"ARROYO SECO NC","ARROYO SECO NC",42,2021-06-01,1
"ARROYO SECO NC","ARROYO SECO NC",42,2021-07-01,2
"ARROYO SECO NC","ARROYO SECO NC",42,2021-08-01,2
"ARROYO SECO NC","ARROYO SECO NC",42,2021-09-01,3
"ARROYO SECO NC","ARROYO SECO NC",42,2021-10-01,7
"ARROYO SECO NC","ARROYO SECO NC",42,2021-11-01,7
"ARROYO SECO NC","ARROYO SECO NC",42,2021-12-01,5
"ARROYO SECO NC","ARROYO SECO NC",42,2020-01-01,1
