"old_nc_name","new_nc_name","nc_id","January_2022","February_2022","March_2022","April_2022","May_2022","June_2022","July_2022","August_2022","September_2022","October_2022","November_2022","December_2022","January_2021","February_2021","March_2021","April_2021","May_2021","June_2021","July_2021","August_2021","September_2021","October_2021","November_2021","December_2021","January_2020","February_2020","March_2020","April_2020","May_2020","June_2020","July_2020","August_2020","September_2020","October_2020","November_2020","December_2020","January_2019","February_2019","March_2019","April_2019","May_2019","June_2019","July_2019","August_2019","September_2019","October_2019","November_2019","December_2019"
"ARLETA NC","ARLETA NC",6,0,0,1,1,0,1,0,3,2,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,2,2,2,4,0,0
"ARROYO SECO NC","ARROYO SECO NC",42,5,11,9,13,15,10,6,14,6,NA,NA,NA,1,1,1,1,1,1,2,2,3,7,7,5,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,2,2,2,3,3,3,3,3,2
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,4,7,10,9,10,18,9,4,10,NA,NA,NA,1,2,3,3,3,5,5,7,7,5,8,5,2,7,1,0,0,1,2,2,2,2,2,1,0,0,1,3,5,7,29,25,23,7,3,2
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,4,6,7,10,12,11,7,9,6,NA,NA,NA,2,3,6,5,9,14,9,8,9,9,9,5,11,12,9,1,1,2,6,9,7,6,2,3,1,1,1,11,10,12,19,24,13,16,11,8
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,40,52,54,62,71,72,70,54,68,NA,NA,NA,12,15,25,32,38,53,57,46,49,55,59,45,26,40,30,2,5,13,22,26,31,32,20,17,0,0,1,19,35,39,51,55,51,52,47,37
"CANOGA PARK NC","CANOGA PARK NC",13,3,2,3,5,2,1,1,13,25,NA,NA,NA,1,9,11,3,4,11,9,9,8,8,5,4,0,0,1,0,0,0,0,0,1,1,4,3,0,0,0,8,8,6,10,14,18,13,10,4
"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",110,10,8,9,7,9,7,11,5,9,NA,NA,NA,1,1,3,4,4,5,8,9,10,10,13,9,6,7,7,1,1,2,4,2,4,2,1,1,0,0,1,6,6,8,16,17,15,12,11,8
"CENTRAL HOLLYWOOD NC","CENTRAL HOLLYWOOD NC",32,637,548,536,641,667,652,625,408,539,NA,NA,NA,456,593,652,761,815,871,798,853,910,772,731,643,603,695,450,89,187,332,636,692,776,751,607,564,0,2,13,370,715,939,1234,1308,1064,739,677,623
"CENTRAL SAN PEDRO NC","CENTRAL SAN PEDRO NC",95,30,43,44,55,36,18,44,63,104,NA,NA,NA,23,27,34,66,116,127,178,145,98,78,40,32,0,0,2,0,0,0,0,38,79,167,158,76,0,0,0,16,19,12,19,12,11,1,0,0
"CHATSWORTH NC","CHATSWORTH NC",99,4,4,2,2,3,2,1,18,8,NA,NA,NA,0,0,1,0,1,1,1,1,3,3,5,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,2,2,2,2,2,2,0
