Trip Origin and Destination,Ridership,Current_Fare,Current_Fee,Current_LADOT_Revenue,Current_Operator_Revenue,Revised_Fee,Revised_Fare,New_Ridership,New_LADOT_Revenue,New_Operator_Revenue
EFMDD - EFMDD,1468369,4,0,0,5873476,-0.1,3.9,1484888.1512499999,-148488.815125,5791063.789875
EFMDD - MDD,97055,4,0,0,388220,-0.1,3.9,98146.86875,-9814.686875,382772.78812499996
EFMDD - Out_of_Bound,10266,4,0,0,41064,-0.1,3.9,10381.4925,-1038.1492500000002,40487.82075
EFMDD - SOZ,5441,4,0,0,21764,-0.1,3.9,5502.21125,-550.221125,21458.623875
EFMDD -SPD,207567,4,0,0,830268,-0.1,3.9,209902.12875,-20990.212875,818618.302125
MDD - EFMDD,94144,4,0,0,376576,-0.1,3.9,95203.12,-9520.312,371292.16799999995
MDD - MDD,1774971,4,0.06,106498.26,7099884,0.06,4,1774971,106498.26,7099884
MDD - Out_of_Bound,93765,4,0.06,5625.9,375060,0.06,4,93765,5625.9,375060
MDD - SOZ,127300,4,0.06,7638,509200,0.06,4,127300,7638,509200
MDD - SPD,220771,4,0.06,13246.26,883084,0.06,4,220771,13246.26,883084
Out_of_Bound - EFMDD,10516,4,0,0,42064,-0.1,3.9,10634.305,-1063.4305000000002,41473.7895
Out_of_Bound - MDD,74314,4,0.06,4458.84,297256,0.06,4,74314,4458.84,297256
Out_of_Bound - SOZ,72796,4,0.4,29118.4,291184,0.9,4.5,68701.22499999999,61831.10249999999,309155.51249999995
Out_of_Bound - SPD,40433,4,0.2,8086.6,161732,0.2,4,40433,8086.6,161732
SOZ - EFMDD,7138,4,0,0,28552,-0.1,3.9,7218.3025,-721.83025,28151.37975
SOZ - MDD,129395,4,0.06,7763.7,517580,0.06,4,129395,7763.7,517580
SOZ - Out_of_Bound,84534,4,0.4,33813.6,338136,0.9,4.5,79778.9625,71801.06625,359005.33125
SOZ - SOZ,439571,4,0.4,175828.40000000002,1758284,0.9,4.5,414845.13125,373360.618125,1866803.090625
SOZ - SPD,71768,4,0.2,14353.6,287072,0.2,4,71768,14353.6,287072
SPD - EFMDD,229598,4,0,0,918392,-0.1,3.9,232180.9775,-23218.09775,905505.81225
SPD - MDD,221831,4,0.06,13309.859999999999,887324,0.06,4,221831,13309.859999999999,887324
SPD - Out_of_Bound,52823,4,0.2,10564.6,211292,0.2,4,52823,10564.6,211292
SPD - SOZ,59108,4,0.2,11821.6,236432,0.2,4,59108,11821.6,236432
SPD - SPD,2215631,4,0.2,443126.2,8862524,0.2,4,2215631,443126.2,8862524
